chave,ITEM,NUMPEDVEN,QTCOMP,STATUS,AUTORIZADO
718242694950,6586065,1155389351,1,AUTORIZADO,Autorizado
50635821590640,7716102,1154486304,1,AUTORIZADO,Autorizado
50635821590640,6825201,1154486304,1,AUTORIZADO,Autorizado
718243694950,8007971,1155401774,1,AUTORIZADO,Autorizado
50635921590640,3946480,1154539030,1,AUTORIZADO,Autorizado
50636021590640,7963841,1154541209,1,AUTORIZADO,Autorizado
718244694950,7825880,1155418899,1,AUTORIZADO,Autorizado
50636121590640,8042262,1154550185,1,AUTORIZADO,Autorizado
50636321590640,6627416,1154743466,1,AUTORIZADO,Autorizado
718245694950,6932411,1155420283,1,AUTORIZADO,Autorizado
50636221590640,8001320,1154711381,1,AUTORIZADO,Autorizado
50636421590640,7768323,1154785276,1,AUTORIZADO,Autorizado
50636421590640,7922695,1154785276,1,AUTORIZADO,Autorizado
718246694950,7825880,1155430700,1,AUTORIZADO,Autorizado
50636521590640,7518836,1154785277,1,AUTORIZADO,Autorizado
50636521590640,7950988,1154785277,1,AUTORIZADO,Autorizado
52922160300630,7809286,1155249166,2,AUTORIZADO,Autorizado
50636621590640,7743726,1154953257,1,AUTORIZADO,Autorizado
50636721590640,7836046,1155114604,1,AUTORIZADO,Autorizado
439309925002500,7972348,1155247031,1,AUTORIZADO,Autorizado
899224352005210,7741128,1155437842,1,AUTORIZADO,Autorizado
52922260300630,7809286,1155260078,2,AUTORIZADO,Autorizado
52922360300630,7809286,1155267245,2,AUTORIZADO,Autorizado
52922560300630,7809286,1155274209,2,AUTORIZADO,Autorizado
52922660300630,7809286,1155276749,2,AUTORIZADO,Autorizado
52922760300630,7809286,1155281413,2,AUTORIZADO,Autorizado
52922860300630,8041005,1155320835,2,AUTORIZADO,Autorizado
52922960300630,7809286,1155291868,2,AUTORIZADO,Autorizado
52923160300630,7809286,1155292358,2,AUTORIZADO,Autorizado
52923060300630,8025081,1155189028,1,AUTORIZADO,Autorizado
48621887300630,7952494,1155189273,1,AUTORIZADO,Autorizado
52923260300630,7969478,1155224013,1,AUTORIZADO,Autorizado
48622187300630,7419621,1155283614,1,AUTORIZADO,Autorizado
48622187300630,7485527,1155283614,1,AUTORIZADO,Autorizado
48622187300630,6932411,1155283614,1,AUTORIZADO,Autorizado
48622187300630,7863103,1155283614,1,AUTORIZADO,Autorizado
52923360300630,5592470,1155108671,1,AUTORIZADO,Autorizado
52923560300630,7915215,1155137481,1,AUTORIZADO,Autorizado
52923460300630,7924736,1155245101,1,AUTORIZADO,Autorizado
52923760300630,7901751,1155249026,1,AUTORIZADO,Autorizado
52923860300630,7871078,1155165171,8,AUTORIZADO,Autorizado
52923960300630,7644603,1155393891,1,AUTORIZADO,Autorizado
52924060300630,5866151,1155171642,10,AUTORIZADO,Autorizado
48623187300630,7922763,1154294348,1,AUTORIZADO,Autorizado
50637021590640,8009371,1154568978,1,AUTORIZADO,Autorizado
50637121590640,8041005,1154784858,2,AUTORIZADO,Autorizado
52924160300630,7809286,1155293146,2,AUTORIZADO,Autorizado
50637221590640,7787225,1155031922,1,AUTORIZADO,Autorizado
50637321590640,8042385,1154208714,1,AUTORIZADO,Autorizado
86957712590640,7955129,1155183691,1,AUTORIZADO,Autorizado
52924260300630,7809286,1155294600,2,AUTORIZADO,Autorizado
86957812590640,5866151,1155217987,1,AUTORIZADO,Autorizado
52924360300630,8041005,1155421593,2,AUTORIZADO,Autorizado
86957912590640,5866151,1155218047,1,AUTORIZADO,Autorizado
86958012590640,7799174,1155218099,1,AUTORIZADO,Autorizado
86958112590640,5862740,1155236939,1,AUTORIZADO,Autorizado
86958212590640,7360367,1155290381,1,AUTORIZADO,Autorizado
606615529002910,7333057,1155170339,1,AUTORIZADO,Autorizado
86958212590640,7360374,1155290381,1,AUTORIZADO,Autorizado
86958312590640,5866151,1155291846,1,AUTORIZADO,Autorizado
2786221350505,2115160,1155332422,1,AUTORIZADO,Autorizado
2786121350505,7920981,1155312238,1,AUTORIZADO,Autorizado
899226352005210,4535515,1155232169,1,AUTORIZADO,Autorizado
2785921350505,7479540,1155396385,1,AUTORIZADO,Autorizado
2786321350505,2115160,1155325346,1,AUTORIZADO,Autorizado
2785621350505,6627416,1155380759,1,AUTORIZADO,Autorizado
2785821350505,7105128,1155413207,1,AUTORIZADO,Autorizado
2786021350505,7920981,1155394505,1,AUTORIZADO,Autorizado
2785721350505,2115160,1155369984,1,AUTORIZADO,Autorizado
2786521350505,7920981,1155339633,1,AUTORIZADO,Autorizado
2786421350505,7674303,1155320932,1,AUTORIZADO,Autorizado
606616529002910,7908651,1155190613,2,AUTORIZADO,Autorizado
86958412590640,7825880,1155305170,1,AUTORIZADO,Autorizado
86958512590640,7825880,1155315207,1,AUTORIZADO,Autorizado
272916729002910,7922695,1155218348,1,AUTORIZADO,Autorizado
86958612590640,7825880,1155318791,1,AUTORIZADO,Autorizado
606617529002910,7716102,1155221870,1,AUTORIZADO,Autorizado
86958712590640,5866151,1155319183,1,AUTORIZADO,Autorizado
86958712590640,6470340,1155319183,1,AUTORIZADO,Autorizado
52924460300630,7809286,1155303653,2,AUTORIZADO,Autorizado
606618529002910,7825880,1155222838,1,AUTORIZADO,Autorizado
86958812590640,7825880,1155329331,1,AUTORIZADO,Autorizado
606619529002910,7825880,1155223251,1,AUTORIZADO,Autorizado
86958912590640,7825880,1155338727,1,AUTORIZADO,Autorizado
606620529002910,7871184,1155223361,1,AUTORIZADO,Autorizado
86959012590640,8039750,1155341429,1,AUTORIZADO,Autorizado
606621529002910,7825880,1155223736,1,AUTORIZADO,Autorizado
